자치구,행정동,다문화자녀(2021),다문화가족복지시설,우리동네키움센터,아동복지센터,공공도서관,한울타리_외국인근로자센터,한울타리_가족센터,심리지원센터,건강가정지원센터,2021_정책학교,인프라합계,주택보급률(주택수/일반가구수)
강서구,염창동,132,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,90.2
강서구,등촌1동,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4
강서구,등촌2동,82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,86.4
강서구,등촌3동,113,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,95.4
강서구,화곡본동,144,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,83.6
강서구,화곡1동,112,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.7
강서구,화곡2동,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.6
강서구,화곡3동,131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,79.2
강서구,화곡4동,115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,74.9
강서구,화곡6동,70,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.9
강서구,화곡8동,46,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,42.7
강서구,우장산동,35,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,94.1
강서구,가양1동,141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
강서구,가양2동,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5
강서구,가양3동,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
강서구,발산1동,204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.5
강서구,공항동,76,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,73.8
강서구,방화1동,50,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,93.6
강서구,방화2동,50,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,76.8
강서구,방화3동,87,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,89.6
관악구,은천동,184,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0
관악구,성현동,104,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,88.8
관악구,청룡동,54,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43.3
관악구,보라매동,112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.0
관악구,청림동,98,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,40.4
관악구,행운동,142,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,51.9
관악구,낙성대동,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61.5
관악구,중앙동,51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.2
관악구,인헌동,50,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.9
관악구,남현동,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7
관악구,서원동,189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.7
관악구,신원동,161,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.3
관악구,서림동,91,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,86.1
관악구,난곡동,82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,43.8
관악구,신사동,287,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.2
관악구,신림동,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,70.9
관악구,삼성동,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5
관악구,난향동,53,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.2
관악구,조원동,58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,65.3
관악구,대학동,46,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,79.9
관악구,미성동,43,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,68.9
은평구,녹번동,75,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,79.9
은평구,불광1동,39,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,85.1
은평구,불광2동,82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.7
은평구,갈현1동,90,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.9
은평구,갈현2동,90,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,89.0
은평구,구산동,202,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,67.6
은평구,대조동,29,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,65.9
은평구,응암1동,88,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,91.5
은평구,응암2동,110,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.8
은평구,응암3동,39,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,79.9
은평구,역촌동,102,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,78.9
은평구,신사1동,124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.6
은평구,신사2동,106,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,85.8
은평구,증산동,159,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,71.3
은평구,수색동,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
은평구,진관동,149,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,79.3