행정구,2022_초등학교_계,2022_초등학교_국제결혼가정,2022_초등학교_외국인가정,2022_중학교_계,2022_중학교_국제결혼가정,2022_중학교_외국인가정,2022_고등학교_계,2022_고등학교_국제결혼가정,2022_고등학교_외국인가정,2022_초등학생_국내출생자녀_소계,2022_초등학생_국내출생자녀_일본,2022_초등학생_국내출생자녀_중국,2022_초등학생_국내출생자녀_중국_한국계,2022_초등학생_국내출생자녀_대만,2022_초등학생_국내출생자녀_몽골,2022_초등학생_국내출생자녀_필리핀,2022_초등학생_국내출생자녀_베트남,2022_초등학생_국내출생자녀_태국,2022_초등학생_국내출생자녀_캄보디아,2022_초등학생_국내출생자녀_인도네시아,2022_초등학생_국내출생자녀_중앙아시아,2022_초등학생_국내출생자녀_미국,2022_초등학생_국내출생자녀_러시아,2022_초등학생_국내출생자녀_러시아 및 중앙아시아_한국계,2022_초등학생_국내출생자녀_중동,2022_초등학생_국내출생자녀_유럽,2022_초등학생_국내출생자녀_아프리카,2022_초등학생_국내출생자녀_기타,2022_초등학생_외국인가정자녀_소계,2022_초등학생_외국인가정자녀_일본,2022_초등학생_외국인가정자녀_중국,2022_초등학생_외국인가정자녀_중국_한국계,2022_초등학생_외국인가정자녀_대만,2022_초등학생_외국인가정자녀_몽골,2022_초등학생_외국인가정자녀_필리핀,2022_초등학생_외국인가정자녀_베트남,2022_초등학생_외국인가정자녀_태국,2022_초등학생_외국인가정자녀_캄보디아,2022_초등학생_외국인가정자녀_인도네시아,2022_초등학생_외국인가정자녀_중앙아시아,2022_초등학생_외국인가정자녀_미국,2022_초등학생_외국인가정자녀_러시아,2022_초등학생_외국인가정자녀_러시아 및 중앙아시아_한국계,2022_초등학생_외국인가정자녀_중동,2022_초등학생_외국인가정자녀_유럽,2022_초등학생_외국인가정자녀_아프리카,2022_초등학생_외국인가정자녀_기타,2022_초등학생_중도입국자녀_소계,2022_초등학생_중도입국자녀_일본,2022_초등학생_중도입국자녀_중국,2022_초등학생_중도입국자녀_중국_한국계,2022_초등학생_중도입국자녀_대만,2022_초등학생_중도입국자녀_몽골,2022_초등학생_중도입국자녀_필리핀,2022_초등학생_중도입국자녀_베트남,2022_초등학생_중도입국자녀_태국,2022_초등학생_중도입국자녀_캄보디아,2022_초등학생_중도입국자녀_인도네시아,2022_초등학생_중도입국자녀_중앙아시아,2022_초등학생_중도입국자녀_미국,2022_초등학생_중도입국자녀_러시아,2022_초등학생_중도입국자녀_러시아 및 중앙아시아_한국계,2022_초등학생_중도입국자녀_중동,2022_초등학생_중도입국자녀_유럽,2022_초등학생_중도입국자녀_아프리카,2022_초등학생_중도입국자녀_기타,2022_다문화가구_소계,2022_가구원_소계,2022_가구원_내국인_출생,2022_가구원_내국인_귀화,2022_가구원_외국인_결혼이민자,2022_가구원_외국인_기타,2021_합계_소계,2021_한국국적을 가지지 않은 자_소계,2021_한국국적을 가지지 않은 자_외국인근로자,2021_한국국적을 가지지 않은 자_결혼이민자,2021_한국국적을 가지지 않은 자_유학생,2021_한국국적을 가지지 않은 자_외국국적동포,2021_한국국적을 가지지 않은 자_기타외국인,2021_한국국적을 취득한 자_소계,2021_외국인주민 자녀_출생_소계,2022_인구,2022_면적,2022_인구밀도,소비경기지수,2023_초등학교수,2022 년_종류별 주택수,2022 년_단독주택,2022 년_일반단독주택,2022 년_다가구주택,2022 년_영업겸용주택,2022 년_아파트,2022 년_연립주택,2022 년_다세대주택,2022 년_비거주용건물내주택,2018_다문화시민인식_종합,2018_인구감소문제 해결 위해 외국인 이민정책 필요,2018_결혼 이민자에 대한 사회적 편견해소 정책 필요,2018_이민자 많아지면 일자리 빼앗길 것 같다,서울전체세대,서울전체인구,한국인,등록외국인,세대당인구,65세이상고령자,총생활인구수,중국외외국인체류인구수,사회적 신뢰_국내 거주 외국인,사회적 약자 수용 여부_외국인 노동자,사회적 약자 수용 여부_난민,서울시민 자부심,사회적 차별요인 순위_소득 수준,사회적 차별요인 순위_교육수준,사회적 차별요인 순위_국적,사회적 차별요인 순위_출신 지역,사회적 차별요인 순위_종교,우울감_경험률,스트레스_체감도,사회적 약자에 대한 태도,지역사회 소속감_서로도움,자원봉사활동 경험 여부,1년간 기부 경험 여부,어린이집개수,도서관개수,다문화가족복지센터개수,다문화언어강사인원,어린이복지센터개수,2020_인구,2020_1인당 지역내총생산_천원,2020_수준지수,년도,2022_출생,2022_중점학교수,2022_특별학급수
종로구,163,117,46,72,67,5,84,65,19,103,3,30,1,1,1,14,27,2,4,1,3,1,0,0,0,4,2,9,46,0,26,1,0,1,0,6,0,0,0,1,4,1,0,1,0,0,5,14,4,3,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,1178,3067,1790,535,612,130,12009,10944,885,613,4240,1683,3523,516,549,152211,23.91,6365,124.7,12,46810,11823,6259,3959,1605,15923,5532,12651,881,5.42,5.41,5.55,5.29,72679,152212,141060,11152,1.94,28265,1055.248145,324.432839,3.07,88.7,58.2,75.5,57.9,49.1,9.3,9.5,3.7,5.1,4.81,5.79,4.07,9.4,17.0,71,9,1,6,11,151581,223603,482.96,2022,12,,
중구,269,142,127,72,50,22,99,58,41,130,9,25,23,3,3,10,30,4,0,3,4,6,4,3,0,0,1,2,127,0,42,3,0,27,0,2,0,0,1,7,4,9,24,0,1,0,7,12,0,2,4,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,1327,3372,1850,672,675,175,12639,11368,1244,664,2734,2439,4287,674,597,130785,9.96,13131,124.7,12,42401,5751,2166,2346,1239,26366,1879,7572,833,5.35,4.84,5.48,5.73,63862,131390,120963,10427,1.89,25353,1279.01502979424,438.785559650206,2.86,93.1,71.9,67.7,55.2,57.1,15.5,3.7,3.3,9.7,4.77,5.13,3.71,5.1,18.7,64,8,1,5,3,126467,443361,957.61,2022,12,2.0,2.0
용산구,408,254,154,139,106,33,79,57,22,219,21,36,4,6,7,19,30,1,3,0,15,11,8,3,7,9,22,17,154,2,14,2,2,6,10,3,0,2,2,30,6,0,2,23,4,38,8,35,5,5,0,0,0,3,0,0,0,0,1,4,0,1,0,14,0,2,2259,6020,3736,741,1364,179,18279,16400,1799,1347,999,2631,9624,722,1157,233284,21.87,10668,124.7,15,77116,13450,4698,7054,1698,39805,3887,19309,665,5.77,5.5,6.04,5.76,109735,232482,217756,14726,1.98,39478,1010.09996438079,725.217254176312,3.76,83.7,54.7,69.1,40.2,44.3,17.6,3.1,2.5,6.4,4.58,5.69,3.19,6.8,37.0,106,4,1,3,5,222307,57688,124.6,2022,12,3.0,3.0
성동구,439,315,124,135,107,28,47,41,6,286,19,100,6,4,7,19,91,4,6,3,0,5,2,1,0,5,1,13,124,0,72,14,0,16,1,11,0,1,0,0,0,2,2,0,1,0,4,29,6,8,1,0,0,3,5,0,0,0,1,4,0,0,0,0,0,1,2156,5730,3424,1063,1066,177,12447,10196,1206,1085,2754,2239,2912,1040,1211,288234,16.82,17136,111.3,21,90740,9410,1733,5966,1711,68125,2058,10177,970,5.68,5.22,6.07,5.74,133513,287240,280240,7000,2.1,48238,904.515371405229,304.112226633987,3.08,82.4,43.3,70.4,46.4,49.4,9.3,1.4,4.7,8.5,4.8,5.7,3.41,5.2,25.2,153,7,1,3,10,319475,38886,83.99,2022,12,2.0,2.0
광진구,505,306,199,140,78,62,65,49,16,279,16,87,14,5,8,19,79,8,8,0,2,6,8,4,1,4,0,10,199,0,43,55,1,56,0,19,0,0,0,7,2,1,0,3,0,0,12,27,3,7,4,3,2,2,2,0,0,0,2,0,2,0,0,0,0,0,2703,6623,3578,1723,1106,216,21653,18704,2567,1098,4354,4860,5825,1739,1210,351252,17.06,20586,111.3,21,93555,14901,619,11300,2982,33862,4158,39240,1394,5.9,5.46,6.28,5.96,169787,350925,336801,14124,1.98,54854,1489.49921983539,399.608348518519,2.32,87.9,54.6,67.1,45.0,51.6,8.0,4.1,3.5,7.9,5.41,5.3,3.26,4.2,11.3,152,6,1,5,13,357176,18062,39.01,2022,12,0.0,2.0
동대문구,465,338,127,182,142,40,83,56,27,309,18,70,23,2,5,32,111,3,13,2,10,5,2,0,0,2,1,10,127,1,61,8,0,10,2,10,0,0,1,6,1,5,1,15,0,2,4,29,2,9,4,1,1,6,3,0,0,0,0,0,0,0,0,0,0,3,2495,6448,3601,1455,1075,317,21766,19109,1235,1080,8997,2365,5432,1453,1204,353601,14.22,24873,111.3,21,106441,16110,3994,9353,2763,68445,3298,17090,1498,5.19,4.78,5.68,5.11,171140,354884,337574,17310,1.97,65154,1841.27052677469,481.756645789242,2.76,83.4,46.7,69.0,55.4,57.7,5.9,4.9,1.8,3.4,4.98,5.31,3.73,9.7,22.1,184,8,1,4,15,355917,20791,44.91,2022,12,1.0,2.0
중랑구,573,418,155,184,130,54,45,39,6,390,20,100,14,4,14,38,151,10,10,2,4,4,4,4,0,1,0,10,155,1,27,10,0,96,5,3,0,0,0,7,1,0,2,0,0,0,3,28,4,3,1,0,3,3,8,0,0,1,1,4,0,0,0,0,0,0,2620,7096,4291,1445,1144,216,9698,6864,661,1155,831,1494,2723,1395,1439,390140,18.5,21092,111.3,24,118357,17751,1668,12765,3318,59121,4466,35535,1484,5.67,5.08,5.95,5.99,187898,389928,385003,4925,2.05,76116,351.118587181713,133.938467496142,3.13,74.3,28.7,74.0,48.4,58.1,9.9,2.9,1.1,4.6,4.51,5.53,3.88,5.9,27.9,194,5,0,5,22,384950,12340,26.65,2022,12,0.0,1.0
성북구,530,435,95,182,155,27,68,55,13,396,34,82,24,4,10,34,142,4,11,2,11,4,6,3,0,2,4,19,95,2,24,7,0,22,15,8,0,0,0,0,4,2,2,1,0,0,8,39,2,12,3,0,5,3,6,0,0,1,0,0,0,0,0,3,0,4,2376,6682,4249,1133,1094,206,15657,13081,714,1072,5676,1358,4261,1109,1467,441984,24.58,17983,111.3,29,142602,20892,8819,9157,2916,83701,6146,30510,1353,5.25,5.24,5.73,4.79,197859,441855,430100,11755,2.17,78427,784.98606720679,284.205100277778,2.17,85.1,48.3,71.2,63.7,58.5,6.7,2.1,0.6,8.8,5.04,5.78,3.33,7.7,27.2,210,13,1,5,24,437443,14158,30.58,2022,12,,
강북구,383,345,38,134,124,10,73,72,1,327,8,78,1,6,10,37,123,9,21,0,12,6,4,0,0,1,3,8,38,0,13,2,0,12,0,1,0,0,0,1,3,0,0,0,1,1,4,18,1,8,0,0,0,2,2,0,1,0,0,2,0,0,0,0,0,2,2062,5675,3556,1113,853,153,7225,4918,394,853,854,1114,1703,1079,1228,297702,23.6,12614,111.3,14,99477,17134,4640,9995,2499,35997,4867,40483,996,5.35,5.04,5.48,5.51,144557,296934,292762,4172,2.03,67056,460.46014706790095,182.669691168091,2.04,87.6,66.0,69.8,52.7,62.8,11.4,1.4,0.4,5.5,4.26,6.08,3.73,8.5,26.9,124,7,1,2,22,301489,11135,24.05,2022,12,,
도봉구,400,373,27,121,107,14,41,33,8,350,14,73,17,1,13,39,147,5,16,2,1,5,3,4,0,0,0,10,27,0,13,4,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,0,0,0,3,6,0,0,0,0,2,0,0,0,2,0,1,1646,4695,3038,850,662,145,4882,3032,303,692,417,636,984,808,1042,313989,20.65,15205,111.3,23,109190,8381,1308,5441,1632,65664,4229,30210,706,5.42,4.66,5.75,5.86,138376,312858,310509,2349,2.24,68114,198.954835890653,95.6372442350088,3.53,93.6,72.3,70.1,69.5,61.9,6.4,1.7,1.1,7.0,4.3,6.15,4.47,6.3,39.6,172,9,1,0,17,321875,10872,23.48,2022,12,,
노원구,416,382,34,165,154,11,134,112,22,330,30,93,14,0,8,27,91,1,11,0,11,16,1,2,0,7,2,16,34,0,11,0,0,12,0,1,0,0,0,3,0,0,1,0,0,0,6,52,4,24,1,1,0,8,5,0,0,0,2,2,1,0,0,0,0,4,2071,6097,4081,908,948,160,7829,5672,386,965,1884,623,1814,852,1305,508014,35.44,14335,111.3,42,192022,6519,2097,3262,1160,166131,3487,15212,673,5.57,4.68,6.25,5.8,218341,506989,502515,4474,2.3,93279,277.013745963288,150.54163708577,1.33,79.1,66.3,73.3,24.0,60.5,5.2,1.5,0.2,7.4,5.93,5.56,1.62,5.6,33.3,306,9,1,2,23,517866,12432,26.85,2022,12,,
은평구,590,545,45,223,180,43,149,102,47,514,30,113,13,10,15,51,186,4,23,4,20,7,2,1,1,4,6,24,45,0,31,4,1,0,2,1,0,0,0,2,2,0,1,0,0,1,0,31,3,11,0,0,0,4,4,0,2,0,0,0,1,0,0,2,1,3,2933,8423,5275,1584,1301,263,9026,5724,473,1303,272,1390,2286,1521,1781,470602,29.71,15838,116.2,30,160630,14469,4036,7861,2572,67705,5831,71420,1205,5.57,5.18,5.92,5.6,213989,468766,464871,3895,2.17,90556,353.686915731096,151.818431896219,2.77,92.4,61.8,73.4,65.1,51.1,4.5,2.5,0.6,8.2,3.8,5.8,3.84,9.2,23.9,217,8,1,2,27,463468,10953,23.66,2022,12,,
서대문구,313,281,32,112,97,15,42,35,7,262,21,66,10,23,3,29,68,4,4,0,6,9,2,2,0,3,0,12,32,1,17,0,1,1,0,6,0,0,0,0,3,0,0,1,1,1,0,19,1,7,0,2,0,2,0,1,0,0,4,2,0,0,0,0,0,0,2014,5605,3485,966,987,167,16636,14635,1003,959,5741,1359,5573,928,1073,319554,17.63,18129,116.2,19,105047,12239,2605,7910,1724,57952,5457,28507,892,5.38,5.01,5.89,5.24,147146,321966,308437,13529,2.1,56785,1540.6428155754,693.673878428131,2.83,86.2,38.9,69.6,56.4,64.6,17.2,3.6,1.1,11.5,4.45,5.24,4.61,9.9,25.6,134,4,1,0,7,317323,27137,58.61,2022,11,,
마포구,278,246,32,114,97,17,52,38,14,222,29,51,11,3,5,11,70,1,7,0,5,3,3,1,0,5,1,16,32,0,13,6,0,3,0,0,0,0,0,4,2,1,0,0,0,0,3,24,4,6,2,1,0,1,3,0,0,0,0,2,0,0,0,1,0,4,2342,6354,3935,949,1284,186,14499,12360,1208,1212,3473,1849,4618,911,1228,375585,23.85,15745,116.2,22,127057,10720,2500,5848,2372,74959,3080,36850,1448,5.67,5.06,5.71,6.25,181034,376542,365570,10972,2.02,56582,1272.16213090278,579.775991608796,2.7,76.9,26.3,73.4,55.2,50.1,15.6,4.8,1.7,4.9,4.63,5.69,4.53,11.6,29.9,186,6,1,1,12,366037,55185,119.19,2022,12,,
양천구,418,367,51,202,181,21,89,75,14,329,17,89,22,5,12,26,102,4,12,2,10,11,2,0,1,5,1,8,51,0,33,11,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,38,2,27,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2619,7289,4301,1648,1090,250,8335,5291,625,1111,101,1767,1687,1581,1463,444010,17.41,25509,123.6,30,146886,7519,592,5172,1755,92705,3965,41885,812,5.35,5.33,5.75,4.96,181072,442345,439219,3126,2.43,73522,262.353903892318,87.0985197530864,4.16,95.7,86.0,69.7,65.5,35.5,21.5,0.2,0.3,6.5,3.95,4.68,4.17,6.7,18.7,238,10,1,1,22,437848,16015,34.59,2022,12,,
강서구,664,577,87,173,157,16,125,95,30,533,54,150,30,3,10,51,163,2,17,1,8,9,7,4,0,5,2,17,87,1,41,29,0,6,0,3,0,0,0,1,0,2,1,3,0,0,0,44,5,11,7,2,1,6,3,1,1,0,0,3,3,0,0,1,0,0,3924,10460,6012,2347,1701,400,12701,8367,1029,1695,228,2718,2697,2281,2053,574638,41.45,13862,123.6,35,201611,9717,1126,6449,2142,117945,4751,68125,1073,5.73,5.15,6.14,5.92,274283,573711,568287,5424,2.07,98659,457.96104875,155.167114027778,2.17,81.6,38.6,66.7,55.0,43.8,8.9,6.3,1.8,8.2,5.1,5.57,3.37,3.1,15.7,312,9,1,3,20,578840,29043,62.73,2022,12,0.0,1.0
구로구,1440,645,795,570,251,319,253,158,95,565,15,230,100,6,10,42,86,10,23,0,7,5,2,6,1,7,0,15,795,0,470,309,2,5,1,2,0,1,1,1,0,0,1,0,0,0,2,80,5,52,13,1,0,4,3,1,0,0,0,0,0,0,0,0,0,1,7798,18320,6528,7282,2778,1732,52433,42886,8544,2631,517,18508,12686,7142,2405,418418,20.12,20794,123.6,27,137403,11182,1482,7938,1762,86340,7518,31551,812,5.38,5.14,5.86,5.13,184268,417983,395183,22800,2.14,77259,2045.14043271605,134.329016604938,3.33,86.5,39.9,65.6,61.2,40.5,1.9,4.6,0.6,4.8,5.4,5.67,3.46,8.2,35.8,266,13,1,7,25,427307,32587,70.39,2022,12,5.0,6.0
금천구,948,406,542,270,155,115,118,56,62,368,11,146,33,2,5,22,110,3,19,1,6,3,2,0,0,1,0,4,542,2,352,176,1,4,0,3,0,1,1,0,0,1,0,1,0,0,0,38,0,20,6,0,0,3,4,3,0,0,0,0,1,0,0,0,0,1,4704,11034,4181,4125,1766,962,30878,25207,5166,1717,255,11248,6821,4151,1520,242818,13.02,18649,123.6,18,72044,8507,350,6968,1189,33231,3929,25869,508,5.65,5.39,5.94,5.61,120051,242467,229307,13160,1.91,43772,1632.30081458333,159.386181604938,2.79,86.1,58.6,67.9,61.7,36.4,14.0,8.4,2.6,11.2,4.46,5.56,3.18,5.0,26.9,128,4,1,3,25,248496,69304,149.69,2022,12,1.0,1.0
영등포구,1133,352,781,365,110,255,109,59,50,308,3,127,39,2,1,9,62,4,6,1,1,9,0,1,1,1,0,41,781,83,531,161,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,44,15,18,4,0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,6520,15185,4852,5824,2425,2084,50999,43342,8829,2381,539,19528,12065,5874,1783,398085,24.55,16215,123.6,23,112068,13623,1783,9533,2307,79110,1581,16644,1110,5.51,5.21,5.93,5.4,190252,398999,376614,22385,1.98,66014,2216.35171811557,219.262550420096,0.91,95.6,44.2,70.0,60.8,62.3,11.3,0.7,1.0,7.2,4.26,5.23,2.76,0.9,45.6,224,5,1,5,17,389064,101354,218.91,2022,12,5.0,5.0
동작구,484,339,145,128,98,30,53,42,11,303,12,90,27,4,2,28,87,5,11,3,2,11,2,3,0,6,1,9,145,0,37,88,1,1,0,4,0,0,0,1,3,0,1,0,0,8,1,36,3,9,9,0,0,4,4,0,0,0,0,2,0,0,0,4,0,1,2581,6362,3389,1697,1005,271,17195,14423,1903,984,2843,4531,4162,1683,1089,390432,16.36,23870,123.6,21,120374,14058,2465,9468,2125,65921,5157,34212,1026,5.66,4.63,5.92,6.43,186534,390377,380201,10176,2.04,68766,924.218793765432,246.820490216049,3.27,89.4,53.3,70.9,44.8,48.0,12.2,3.1,0.8,6.2,5.27,5.29,3.75,9.0,37.7,168,7,1,1,26,401650,16559,35.77,2022,12,1.0,1.0
관악구,618,420,198,270,182,88,179,90,89,379,18,104,51,0,6,31,107,3,22,0,8,5,6,1,0,8,1,8,198,1,78,99,1,4,0,7,0,0,0,2,1,0,0,2,0,2,1,41,4,15,10,0,0,2,4,1,1,0,0,0,0,0,1,2,0,1,4466,10526,5081,3301,1585,559,27467,22514,3597,1584,2917,7992,6424,3343,1610,501226,29.57,16951,123.6,22,129778,20855,3473,14053,3329,57133,6224,43684,1882,5.52,4.92,5.72,5.93,285914,502628,487815,14813,1.71,83420,920.064370825985,295.727241313933,2.2,84.6,47.5,74.3,60.3,53.9,9.3,6.6,2.1,4.3,4.58,5.85,3.71,4.2,20.4,187,5,1,3,26,507757,12090,26.11,2022,12,0.0,1.0
서초구,168,154,14,56,52,4,32,25,7,140,17,34,7,5,0,8,23,4,3,0,2,7,10,0,0,9,0,11,14,0,8,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,14,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,2005,6055,4268,550,1141,96,9139,7152,975,1104,341,2165,2567,519,1468,408451,46.97,8696,126.2,23,132706,5187,812,3368,1007,92711,5287,28377,1144,5.63,5.21,6.17,5.52,168234,408979,404831,4148,2.41,63328,731.7248301869,382.083067884088,3.14,90.0,64.0,73.3,48.9,43.7,8.4,5.1,3.6,5.5,5.62,5.41,3.95,14.9,42.2,170,9,0,0,8,403569,89823,194.01,2022,12,,
강남구,174,157,17,77,69,8,55,53,2,144,16,34,15,6,2,11,24,3,4,1,2,11,4,0,0,4,0,7,17,2,7,1,0,0,0,1,0,0,0,2,2,0,0,0,1,0,1,13,4,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,2,2384,7041,4930,693,1304,114,11018,8848,1872,1172,443,2984,2377,615,1555,534103,39.5,13522,126.2,33,178493,6223,744,4121,1358,131599,5649,33469,1553,5.7,4.84,6.14,6.1,234735,537817,532798,5019,2.27,83097,908.15491156706,460.363933487654,1.65,82.1,58.4,68.5,59.4,52.3,7.4,4.4,1.9,7.3,5.09,5.2,3.05,6.5,51.5,182,15,1,0,2,505092,147023,317.55,2022,12,,
송파구,505,414,91,175,145,30,69,60,9,373,27,102,34,12,6,28,111,5,4,4,4,10,3,2,0,10,2,9,91,0,69,9,0,2,2,1,0,0,0,0,2,0,0,1,0,0,5,41,5,16,2,2,1,1,2,2,1,0,0,4,0,0,0,0,0,5,3235,9148,5773,1532,1589,254,13211,9743,1872,1503,229,3490,2649,1507,1961,664514,33.88,19616,126.2,41,220192,7657,420,5365,1872,135070,4766,71257,1442,5.59,5.04,6.16,5.56,285489,663704,658006,5698,2.3,105161,484.989624634202,199.619178966621,3.09,83.8,42.1,71.0,42.8,55.9,11.2,3.2,2.7,9.1,5.15,5.41,3.8,6.3,24.5,335,12,1,0,19,658321,46082,99.53,2022,12,,
강동구,495,405,90,132,116,16,36,29,7,366,36,85,22,4,10,31,132,6,13,0,6,4,2,0,2,2,3,8,90,0,56,8,0,16,0,5,0,0,0,0,1,0,2,0,0,0,2,39,7,11,0,0,0,6,10,0,1,0,0,0,0,1,0,0,0,3,2531,7151,4451,1365,1137,198,9122,6300,1178,1118,215,2157,1632,1325,1497,464037,24.59,18871,126.2,29,148323,9411,472,6747,2192,95721,3216,38934,1041,5.7,5.3,6.11,5.71,202637,464027,459982,4045,2.27,79706,492.622739163237,138.55692343107,1.99,83.2,42.9,68.8,55.5,45.9,12.6,3.3,0.8,6.4,4.88,5.42,3.76,10.4,41.0,239,9,1,0,25,400375,23271,50.26,2022,12,,
