행정구,기관명,Latitude,Longitude
중랑구,서울면동초등학교,37.5854287,127.0866427
동대문구,서울홍파초등학교,37.5860619,127.0393804
구로구,서울구로남초등학교,37.4854321,126.8907864
구로구,서울구로초등학교,37.4968195,126.8858694
영등포구,서울대동초등학교,37.4931391,126.9000037
영등포구,서울도신초등학교,37.4988358,126.900567
구로구,서울동구로초등학교,37.4947087,126.8927576
금천구,서울문성초등학교,37.4745724,126.899202
영등포구,서울신대림초등학교,37.4918204,126.9057565
영등포구,서울신영초등학교,37.5003192,126.8960072
영등포구,서울영림초등학교,37.4872106,126.9026735
구로구,서울영일초등학교,37.4853193,126.8838426
금천구,서울정심초등학교,37.4717118,126.9083123
중구,서울광희초등학교,37.5672007,127.0151603
용산구,서울보광초등학교,37.5324844,126.9963061
용산구,서울용암초등학교,37.5453432,126.989469
용산구,서울이태원초등학교,37.5359766,126.9879974
중구,서울충무초등학교,37.5620636,127.0017451
종로구,서울창신초등학교,37.5760326,127.0143822
강서구,서울방화초등학교,37.5688612,126.8069535
서초구,서울교육대학교부설초등학교,37.4909058,127.015218
동작구,서울문창초등학교,37.4887665,126.9137286
성동구,서울동명초등학교,37.5688411,127.0357138
성동구,서울성수초등학교,37.5441969,127.0633077
광진구,서울용마초등학교,37.5579475,127.0841742
은평구,선정중학교,37.6185259,126.9081422
용산구,오산중학교,37.1539751,127.0621016
구로구,구로중학교,37.493082,126.890358
영등포구,대림중학교,37.4920704,126.9074785
강북구,인수중학교,37.6438503,127.0099435
은평구,선정고등학교,37.618336,126.9087107
광진구,댜원여자고등학교,37.5623944,127.0893896
구로구,지구촌학교(초),37.4887918,126.835069
종로구,서울다솜관광고등학교,37.5718339,127.0181857
동대문구,사랑유치원,37.5066845,126.8770218
동대문구,세하유치원,37.567703,127.0729602
은평구,은평국제유치원,37.5705038,126.8229568
구로구,서울구로남초등학교병설유치원,37.4854321,126.8907864
구로구,서울남유치원,37.4881538,126.8818978
영등포구,서울대동초등학교병설유치원,37.4935819,126.9004356
영등포구,서울영림초등학교병설유치원,37.4872106,126.9026735
중구,신일유치원,37.3998882,126.9589205
종로구,봄샘유치원,37.5732845,127.0065777
광진구,한일유치원,37.5350396,127.0716284
관악구,꿈나라유치원,37.4604634,126.9205615
성북구,동선유치원,37.58394778,127.020379
성북구,새삼선유치원,37.5899213,127.006105
성북구,세아유치원,37.5940572,127.011196