,자치구명,시설명,기본주소,위도,경도
0,양천구,꿈나무들의둥지지역아동센터,서울특별시 양천구 목동중앙북로8길 104,37.544298850000004,126.86635670700313
1,강북구,송천동지역아동센터,서울특별시 강북구 삼양로20길 53,37.6141836,127.0253355
2,강동구,들꽃청소년지역아동센터,서울특별시 강동구 천중로 39,37.5408198,127.1441083
3,강동구,꿈꾸는땅지역아동센터,서울특별시 강동구 아리수로93나길 90,37.5722495,127.1742641
4,강동구,천호지역아동센터,서울특별시 강동구 구천면로 260,37.5508628,127.1394147
5,동대문구,힘찬지역아동센터,서울특별시 동대문구 장안벚꽃로5길 19,37.58144695,127.07362509756757
6,영등포구,푸른공부방지역아동센터,서울특별시 영등포구 양산로 138-1,37.5258921,126.8897241
7,금천구,한별지역아동센터,서울특별시 금천구 독산로72길 86-11,37.4673555,126.9029789
8,종로구,친구네지역아동센터,서울특별시 종로구 창신길 59,37.5761988,127.0102295
9,금천구,함사람지역아동센터,서울특별시 금천구 금하로11길 17,37.4553336,126.903803
10,강북구,돌산공부방지역아동센터,서울특별시 강북구 솔샘로 272,37.61884125,127.02268551877343
11,동작구,상도푸른지역아동센터,서울특별시 동작구 양녕로28길 35,37.4981252,126.9460127
12,서초구,하나복지지역아동센터,서울특별시 서초구 방배천로18길 20,37.4819626,126.9852857
13,강북구,으뜸지역아동센터,서울특별시 강북구 삼양로 487,37.632879,127.0172684
14,강북구,늘품지역아동센터,서울특별시 강북구 인수봉로77길 7,37.6444531,127.0097798
15,서초구,서초지역아동센터,서울특별시 서초구 방배천로8길 35-3,37.4805036,126.9835517
16,동작구,위더스틴즈지역아동센터,서울특별시 동작구 장승배기로10가길 124,37.5026107,126.9409437
17,동작구,위더스지역아동센터,서울특별시 동작구 장승배기로10가길 1,37.5017655,126.9412117
18,송파구,해밀지역아동센터,서울특별시 송파구 문정로 259,37.50082,127.14214
19,강서구,화곡지역아동센터,서울특별시 강서구 등촌로5길 79,37.5330028,126.8605559
20,강서구,경향지역아동센터,서울특별시 강서구 화곡로63길 19,37.55722245,126.85172438579681
21,성동구,조이스터디,서울특별시 성동구 청계천로10다길 34-14,37.569748,127.0351402
22,양천구,아름드리지역아동센터,서울특별시 양천구 신목로2길 11,37.5232586,126.8771862
23,강서구,큰미래지역아동센터,서울특별시 강서구 공항대로3길 36,37.5624805,126.8102574
24,강서구,위캔지역아동센터,서울특별시 강서구 초록마을로 52-1,37.5439698,126.8470857
25,강서구,꿈나무학교지역아동센터,서울특별시 강서구 가로공원로 214-1,37.5370449,126.8357507
26,관악구,꿈나무공부방 지역아동센터,서울특별시 관악구 난향12길 26,37.4634606,126.9159938
27,강동구,구립고덕2동청소년지역아동센터,서울특별시 강동구 상일로17길 17,37.5589021,127.1699179
28,은평구,보물섬지역아동센터,서울특별시 은평구 갈현로15길 46,37.609695650000006,126.90673720718027
29,중랑구,서울지역아동센터,서울특별시 중랑구 겸재로35길 38,37.5894049,127.0857958
30,금천구,나누리지역아동센터,서울특별시 금천구 금하로23길 40,37.4521653,126.9087052
31,금천구,금천미래지역아동센터,서울특별시 금천구 시흥대로151길 12,37.475801,126.8966764
32,관악구,참좋은 지역아동센터,서울특별시 관악구 난우길 41,37.4760161,126.917619
33,관악구,민영지역아동센터,서울특별시 관악구 난우10길 7,37.4769876,126.920274
34,관악구,양지 지역아동센터,서울특별시 관악구 남부순환로 1682,37.482913,126.9422134
35,양천구,물댄동산목동지역아동센터,서울특별시 양천구 목동남로2길 21,37.5072536,126.8644412
36,성북구,마고네지역아동센터,서울특별시 성북구 성북로8길 65,37.5915303,127.0054742
37,관악구,관악청소년 지역아동센터,서울특별시 관악구 미성길 60,37.4746953,126.9147586
38,관악구,물댄동산난곡 지역아동센터,서울특별시 관악구 난곡로 263,37.4824617,126.9143614
39,강동구,암사지역아동센터,서울특별시 강동구 고덕로27길 28,37.5558389,127.1380381
40,강서구,발음지역아동센터,서울특별시 강서구 강서로47다길 41,37.5509134,126.83420010544329
41,강북구,마을속작은학교,서울특별시 강북구 삼양로118길 33,37.6434437,127.0168077
42,금천구,금나래지역아동센터,서울특별시 금천구 범안로17길 23,37.4674022,126.8937902
43,금천구,독산1동지역아동센터,서울특별시 금천구 벚꽃로 73,37.484532,126.8815705
44,중랑구,참사랑지역아동센터,서울특별시 중랑구 면목로48길 56,37.5820467,127.0909963
45,서대문구,주원지역아동센터,서울특별시 서대문구 홍제원6길 4,37.586151,126.9483517
46,중랑구,참이랑지역아동센터,서울특별시 중랑구 상봉중앙로1길 78,37.5986745,127.0877657
47,은평구,행복한지역아동센터,서울특별시 은평구 연서로 39,37.6155302,126.9182479
48,은평구,공립벧엘지역아동센터,서울특별시 은평구 연서로6길 7,37.6045266,126.9165072
49,은평구,꿈이있는푸른학교지역아동센터,서울특별시 은평구 응암로12길 27,37.5884044,126.9173025
50,은평구,이레지역아동센터,서울특별시 은평구 연서로 35,37.6155302,126.9182479
51,은평구,은광지역아동센터,서울특별시 은평구 녹번로 55,37.6062785,126.9299219
52,은평구,동방지역아동센터,서울특별시 은평구 갈현로 29,37.6231892,126.9166006
53,용산구,생명나무 지역아동센터,서울특별시 용산구 백범로43길 2,0.0,0.0
54,서대문구,신일지역아동센터,서울특별시 서대문구 독립문로8길 107,37.5651593,126.9595177
55,영등포구,쪼물왕국지역아동센터,서울특별시 영등포구 선유로53길 34-14,37.5391099,126.895558
56,관악구,성산교회부설 한우리 지역아동센터,서울특별시 관악구 낙성대역14가길 7,37.47330525,126.96436559781569
57,광진구,행복한지역아동센터,서울특별시 광진구 광나루로37길 43,37.5457324,127.088457
58,관악구,은천 지역아동센터,서울특별시 관악구 관천로 119,37.4824963,126.9275076
59,강동구,밝은미래지역아동센터,서울특별시 강동구 올림픽로98길 25,37.5514346,127.1302599
60,노원구,구립노원청소년지역아동센터,서울특별시 노원구 덕릉로86길 5,37.6600137,127.0762614
61,관악구,꿈마을 지역아동센터,서울특별시 관악구 양녕로 42,37.4824811,126.9464333
62,관악구,비전교실 지역아동센터,서울특별시 관악구 관악로30길 40,37.4879751,126.9617919
63,관악구,꿈둥지지역아동센터,서울특별시 관악구 쑥고개로 71,37.4780732,126.9395428
64,관악구,광동 지역아동센터,서울특별시 관악구 행운2길 31,37.4800041,126.9580467
65,관악구,보라매 지역아동센터,서울특별시 관악구 당곡길 36,37.4910534,126.9284913
66,동대문구,해피아트지역아동센터,서울특별시 동대문구 망우로14가길 28,37.5877082,127.0598781
67,관악구,해성지역아동센터,서울특별시 관악구 관악로 287,37.4911802,126.9563217
68,구로구,그루터기배움터지역아동센터,서울특별시 구로구 고척로21나길 17,37.5019777,126.841139
69,성북구,사랑지역아동센터,서울특별시 성북구 솔샘로 25,37.6124204,127.0060806
70,성북구,동소문행복한 홈스쿨 지역아동센터,서울특별시 성북구 아리랑로7길 11,37.5974287,127.0142143
71,성북구,시습지역아동센터,서울특별시 성북구 보국문로16가길 43-13,37.6127687,127.011748
72,송파구,그린리버지역아동센터,서울특별시 송파구 성내천로 189,37.5071321,127.1362252
73,송파구,아름다운꿈지역아동센터,서울특별시 송파구 마천로 305,37.5015811,127.1414084
74,송파구,꿈꾸는지역아동센터,서울특별시 송파구 동남로 280,37.507355,127.1398464
75,송파구,솔바람지역아동센터,서울특별시 송파구 성내천로 271,37.5071321,127.1362252
76,양천구,겨레얼학교지역아동센터,서울특별시 양천구 가로공원로60길 15,37.5344162,126.82446
77,양천구,다니엘청소년지역아동센터,서울특별시 양천구 곰달래로3길 42-1,37.5318236,126.8327934
78,양천구,사무엘지역아동센터,서울특별시 양천구 남부순환로54길 9,37.5326728,126.8283067
79,영등포구,선유지역아동센터,서울특별시 영등포구 선유로24길 3-3,37.5228567,126.8907646
80,영등포구,디모데지역아동센터,서울특별시 영등포구 영등포로86길 17,37.5116518,126.9230887
81,영등포구,민들레학교지역아동센터,서울특별시 영등포구 버드나루로 14가길 14,0.0,0.0
82,강남구,비젼학교지역아동센터,서울특별시 강남구 일원로3길 38,37.49241,127.08381
83,동작구,선한지역아동센터,서울특별시 동작구 흑석로13마길 1,37.5092607,126.9595604
84,동작구,솔나무지역아동센터,서울특별시 동작구 등용로9길 2,0.0,0.0
85,동대문구,아름다운안암지역아동센터,서울특별시 동대문구 약령시로 12,37.5829191,127.0311047
86,강북구,우리지역아동센터,서울특별시 강북구 오현로31길 21,37.6291627,127.0386799
87,구로구,우신지역아동센터,서울특별시 구로구 오리로 1265,37.5006808,126.8291489
88,서초구,점프지역아동센터,서울특별시 서초구 언남12길 8,37.4740656,127.0457666
89,동작구,젬마지역아동센터,서울특별시 동작구 강남초등8길 20,37.5052573,126.9522027
90,성북구,비전트리지역아동센터,서울특별시 성북구 장월로 28,37.6145132,127.0485792
91,송파구,송파희망세상지역아동센터,서울특별시 송파구 오금로64길 4,37.4920121,127.1474165
92,금천구,드림홈스쿨지역아동센터,서울특별시 금천구 가산로 106,37.4712839,126.902368
93,도봉구,무지개지역아동센터,서울특별시 도봉구 방학로3길 116,37.65907,127.0400648
94,강서구,밝은지역아동센터,서울특별시 강서구 양천로17길 26-2,37.5743425,126.8129068
95,동작구,동작지역아동센터,서울특별시 동작구 국사봉길 18,37.4956957,126.9318077
96,동작구,동화나라지역아동센터,서울특별시 동작구 사당로 164-1,37.4840234,126.9789668
97,금천구,멘토지역아동센터,서울특별시 금천구 독산로40길 26,37.4599373,126.9063295
98,금천구,렘넌트지역아동센터,서울특별시 금천구 독산로 217,37.4490403,126.9059644
99,노원구,하늘품의집지역아동센터,서울특별시 노원구 상계로23다길 33,37.6592259,127.0692869
100,도봉구,베다니지역아동센터,서울특별시 도봉구 우이천로48길 4,37.6550976,127.0189384
101,도봉구,쌍문지역아동센터,서울특별시 도봉구 노해로41길 46,37.6507885,127.0255639
102,동대문구,성복행복한홈스쿨지역아동센터,서울특별시 동대문구 장안벚꽃로 139,37.5801729,127.0760315
103,동대문구,이문꿈지역아동센터,서울특별시 동대문구 이문로 130,37.5951782,127.0593706
104,동작구,아이들의울타리 지역아동센터,서울특별시 동작구 장승배기로20길 8,37.5093431,126.9416082
105,동작구,나눔지역아동센터,서울특별시 동작구 신대방2나길 22,37.4896944,126.913071
106,동작구,흑석지역아동센터,서울특별시 동작구 현충로 111,37.501805,126.9806206
107,동작구,대방지역아동센터,서울특별시 동작구 여의대방로44길 47,37.5087881,126.9252646
108,동작구,신대방동구립지역아동센터,서울특별시 동작구 신대방 1길 42,0.0,0.0
109,마포구,엘림지역아동센터,서울특별시 마포구 방울내로 53,37.5587511,126.9000511
110,마포구,망원무지개지역아동센터,서울특별시 마포구 월드컵로25길 58,37.5559509,126.8967436
111,성동구,라온지역아동센터,서울특별시 성동구 동일로 245,37.5549962,127.0711875
112,성동구,꿈터지역아동센터,서울특별시 성동구 금호로13길 20,37.5543703,127.0192092
113,성동구,응봉지역아동센터,서울특별시 성동구 독서당로60나길 15,37.5489474,127.0310118
114,성북구,정릉 중앙,서울특별시 성북구 정릉로8다길 38,37.607413,126.9974872
115,성북구,장위희망지역아동센터,서울특별시 성북구 장위로15길 48,37.6154682,127.0430709
116,강동구,아름다운지역아동센터,서울특별시 강동구 아리수로94길 19,37.5641379,127.1755333
117,강동구,강일지역아동센터,서울특별시 강동구 상일로 163,37.553051,127.1723493
118,강동구,배움터지역아동센터,서울특별시 강동구 성안로 188,37.5352008,127.1342792
119,강동구,돋움지역아동센터,서울특별시 강동구 동남로81길 82,37.5592972,127.1532704
120,강북구,송중동지역아동센터,서울특별시 강북구 오패산로31길 14,37.6132411,127.0334179
121,강북구,울림사회적협동조합 산지역아동센터,서울특별시 강북구 삼각산로 134,37.6404363,127.0178707
122,강북구,울림사회적협동조합하늘씨앗지역아동센터,서울특별시 강북구 삼양로 246,37.632879,127.0172684
123,강북구,울림사회적협동조합 독립문지역아동센터,서울특별시 강북구 덕릉로 40길 14,0.0,0.0
124,강북구,강북지역아동센터,서울특별시 강북구 삼양로118길 27,37.6434437,127.0168077
125,강서구,함께꿈꾸는지역아동센터,서울특별시 강서구 강서로 56길 96,0.0,0.0
126,광진구,경희지역아동센터,서울특별시 광진구 긴고랑로7길 54,37.5668204,127.0809769
127,구로구,누리지역아동센터,서울특별시 구로구 구로동로8길 31,37.4891959,126.8877638
128,구로구,꿈나래지역아동센터,서울특별시 구로구 고척로6길 29,37.4966928,126.8409079
129,구로구,해피지역아동센터,서울특별시 구로구 고척로 19,37.5026041,126.8466588
130,구로구,메이지역아동센터,서울특별시 구로구 구로중앙로18길 68,37.4955039,126.8912115
131,구로구,은혜지역아동센터,서울특별시 구로구 고척로52길 9,37.5014173,126.8558349
132,금천구,하늘지역아동센터,서울특별시 금천구 문성로 12,37.476210449999996,126.90496342261008
133,금천구,안수인지역아동센터,서울특별시 금천구 시흥대로26길 9,37.441834,126.9059724
134,금천구,금천행복한지역아동센터,서울특별시 금천구 독산로 119,37.4490403,126.9059644
135,금천구,아이들세상지역아동센터,서울특별시 금천구 독산로 190,37.4490403,126.9059644
136,금천구,세림지역아동센터,서울특별시 금천구 금하로 658,37.4502803,126.9130062
137,구로구,푸르미지역아동센터,서울특별시 구로구 경서로 47,37.50323,126.86007
138,금천구,푸른샘지역아동센터,서울특별시 금천구 독산로 24,37.4490403,126.9059644
139,송파구,푸른솔지역아동센터,서울특별시 송파구 풍성로 6,37.5342968,127.1170894
140,광진구,한사랑지역아동센터,서울특별시 광진구 동일로54길 20,37.555354,127.072319
141,동작구,흑석희망지역아동센터,서울특별시 동작구 현충로 111,37.501805,126.9806206
142,성북구,성광지역아동센터,서울특별시 성북구 보국문로16길 87,37.613239,127.0110622
143,동대문구,한마음지역아동센터,서울특별시 동대문구 왕산로45길 31,37.5859664,127.0479791
144,구로구,구로파랑새나눔터공부방지역아동센터,서울특별시 구로구 구로동로38길 32,37.4951381,126.8831541
145,동작구,생각의숲지역아동센터,서울특별시 동작구 성대로29길 60,37.500902,126.9376787
146,성북구,삼성지역아동센터,서울특별시 성북구 동소문로34길 24,37.5984105,127.0220839
147,강북구,울림사회적협동조합 꾸러기지역아동센터,서울특별시 강북구 도봉로 28나길 7,0.0,0.0
148,금천구,오예스지역아동센터,서울특별시 금천구 독산로 64길 50,0.0,0.0
149,노원구,삼정학교지역아동센터,서울특별시 노원구 동일로215길 48,37.6508187,127.0586197
150,강동구,마을학교지역아동센터,서울특별시 강동구 풍성로54길 27,37.5283791,127.1335173
151,송파구,누리미지역아동센터,서울특별시 송파구 성내천로 188,37.5071321,127.1362252
152,송파구,송파열매지역아동센터,서울특별시 송파구 풍성로20길 33,37.5309909,127.1144964
153,강동구,강동꿈나무지역아동센터,서울특별시 강동구 올림픽로89길 27-30,37.546866,127.1254203
154,중랑구,한길지역아동센터,서울특별시 중랑구 동일로110길 37,37.5920834,127.0818069
155,중랑구,중화지역아동센터,서울특별시 중랑구 봉화산로 98,37.60223555,127.0853390498595
156,중구,신당꿈 구립 지역아동센터,서울특별시 중구 다산로21길 23,37.5581094,127.0114622
157,송파구,구립 오금동 지역아동센터,서울특별시 송파구 동남로24길 37,37.4989657,127.1382764
158,광진구,새날지역아동센터,서울특별시 광진구 아차산로26길 22,37.5400966,127.0660889
159,송파구,구립 문정1동 지역아동센터,서울특별시 송파구 송이로32길 22,37.4904134,127.126953
160,강동구,구립성내지역아동센터,서울특별시 강동구 성안로13길 56,37.531775,127.1303397
161,동작구,푸른나무지역아동센터,서울특별시 동작구 흑석한강로 13,37.5025015,126.9643171
162,마포구,마리스타 지역아동센터,서울특별시 마포구 토정로2길 37,37.5453037,126.9126212
163,마포구,지역아동센터 열린공부방,서울특별시 마포구 월드컵북로48길 8,37.5769463,126.8955502
164,마포구,서진 지역아동센터,서울특별시 마포구 새터산길 72,37.567822050000004,126.90773525590265
165,동작구,우리모여지역아동센터,서울특별시 동작구 사당로22나길 69,37.4804797,126.9728538
166,동작구,좋은친구들지역아동센터,서울특별시 동작구 동작대로13길 34,37.482279,126.9800642
167,동작구,샘지역아동센터,서울특별시 동작구 여의대방로22나길 82,37.4962692,126.9219053
168,동작구,작은사랑서울지역아동센터,서울특별시 동작구 대방동6길 21,37.5026344,126.9292133
169,동작구,노량진행복한홈스쿨지역아동센터,서울특별시 동작구 노량진로30길 22,37.5118325,126.9561278
170,동작구,동작이수지역아동센터,서울특별시 동작구 동작대로35차길 7,37.493285,126.9765629
171,동작구,신상도지역아동센터,서울특별시 동작구 양녕로20길 108,37.4934626,126.9436657
172,동대문구,드림지역아동센터,서울특별시 동대문구 휘경로14길 29,37.59467,127.0631871
173,동대문구,구립 동대문 지역아동센터,서울특별시 동대문구 전농로 113,37.5855472,127.0516184
174,동대문구,(사)나누리 나누리지역아동센터,서울특별시 동대문구 전농로17길 7,37.5785742,127.0554919
175,동대문구,꿈사랑방지역아동센터,서울특별시 동대문구 전농로10길 20,37.5781306,127.063583
176,동대문구,행복한지역아동센터,서울특별시 동대문구 외대역동로 75,37.59512475,127.06464145000001
177,동대문구,원광지역아동센터,서울특별시 동대문구 사가정로15길 47,37.5796001,127.0590856
178,동대문구,장안지역아동센터,서울특별시 동대문구 한천로 85,37.5978013,127.0678006
179,동대문구,염광지역아동센터 빛나는집,서울특별시 동대문구 전농로16길 83,37.5782527,127.0601069
180,동대문구,한길지역아동센터,서울특별시 동대문구 외대역동로 101,37.59679145,127.06494905445709
181,도봉구,해맑음한일지역아동센터,서울특별시 도봉구 방학로 57-9,37.6618794,127.0242931
182,도봉구,희망드림지역아동센터,서울특별시 도봉구 도봉로110아길 12,37.6447352,127.0376576
183,도봉구,영광지역아동센터,서울특별시 도봉구 노해로41가길 17,37.6498174,127.0268547
184,도봉구,에듀존도봉지역아동센터,서울특별시 도봉구 해등로 111,37.65762755,127.03334277430051
185,도봉구,창동드림지역아동센터,서울특별시 도봉구 우이천로4다길 32,37.6347032,127.041051
186,도봉구,아름다운 지역아동센터,서울특별시 도봉구 도봉로104길 63,37.6450017,127.0382549
187,도봉구,도서관 속 별난학교 지역아동센터,서울특별시 도봉구 방학로 200-20,37.6618794,127.0242931
188,도봉구,나눔플러스지역아동센터,서울특별시 도봉구 도봉로109길 40,37.6490009,127.0289774
189,도봉구,참솔지역아동센터,서울특별시 도봉구 시루봉로 193,37.6638493,127.0272707
190,도봉구,늘사랑 지역아동센터,서울특별시 도봉구 마들로11길 25,37.6543834,127.0534265
191,도봉구,씨앗지역아동센터,서울특별시 도봉구 도봉로 901,37.66057,127.041903
192,도봉구,도봉지역아동센터,서울특별시 도봉구 도당로19길 68,0.0,0.0
193,도봉구,방학동 지역아동센터,서울특별시 도봉구 시루봉로 88,37.6638493,127.0272707
194,도봉구,샘터지역아동센터(공부방),서울특별시 도봉구 노해로62길 106,37.6497318,127.0375536
195,노원구,구립월계문화지역아동센터,서울특별시 노원구 월계로42길 9,37.6243515,127.0504034
196,구로구,지구촌지역아동센터,서울특별시 구로구 남부순환로 1291,37.500223,126.8472829
197,구로구,영문지역아동센터,서울특별시 구로구 개봉로11길 35-9,37.4873179,126.8523021
198,중랑구,씨앗지역아동센터,서울특별시 중랑구 겸재로 193,37.5865658,127.0792367
199,중랑구,놀이터지역아동센터,서울특별시 중랑구 동일로 880,37.6139172,127.0767503
200,중랑구,파랑새지역아동센터,서울특별시 중랑구 신내로 110,37.6007871,127.0964775
201,중랑구,파란나라지역아동센터,서울특별시 중랑구 면목로 452,37.5822793,127.0886008
202,중랑구,녹색지역아동센터,서울특별시 중랑구 겸재로 78,37.5865658,127.0792367
203,중랑구,열린지역아동센터,서울특별시 중랑구 망우로67가길 11,37.602682349999995,127.10206515472026
204,중랑구,생명강지역아동센터,서울특별시 중랑구 동일로123길 21,37.5997672,127.0739549
205,중랑구,동원지역아동센터,서울특별시 중랑구 면목로56길 38,37.5838949,127.0912496
206,중랑구,동그라미지역아동센터,서울특별시 중랑구 겸재로9길 15,37.5878403,127.0782736
207,중랑구,차오름지역아동센터,서울특별시 중랑구 상봉로 49,37.5957603,127.0929919
208,중랑구,면목지역아동센터,서울특별시 중랑구 면목로33길 79,37.5765988,127.0839111
209,중랑구,마루아라지역아동센터,서울특별시 중랑구 신내로 115,37.6007871,127.0964775
